id_live,url,local_path,competition,category,section,useful_start,useful_end,analysis_quality,clip_quality,status,competition_type
k1_istanbul_2026_f_pool1_pool_1,https://www.youtube.com/watch?v=gptd2JF321c&list=PLhP92QB0Ehlhlp54zB3fmmhm69uo4GuvL&index=14,data/input/k1_istanbul_2026_f_pool1.mp4,K1_Istanbul,Female Kata,pool_1_pool_1,310,1145,low,high,pending,K1
k1_istanbul_2026_f_pool1_pool_2,https://www.youtube.com/watch?v=gptd2JF321c&list=PLhP92QB0Ehlhlp54zB3fmmhm69uo4GuvL&index=14,data/input/k1_istanbul_2026_f_pool1.mp4,K1_Istanbul,Female Kata,pool_1_pool_2,2385,3273,low,high,pending,K1
k1_istanbul_2026_f_pool1_pool_3,https://www.youtube.com/watch?v=gptd2JF321c&list=PLhP92QB0Ehlhlp54zB3fmmhm69uo4GuvL&index=14,data/input/k1_istanbul_2026_f_pool1.mp4,K1_Istanbul,Female Kata,pool_1_pool_3,4495,5389,low,high,pending,K1
k1_istanbul_2026_f_pool2_pool_1,https://youtube.com/watch?v=gptd2JF321c&list=PLhP92QB0Ehlhlp54zB3fmmhm69uo4GuvL&index=14,data/input/k1_istanbul_2026_f_pool1.mp4,K1_Istanbul,Female Kata,pool_2_pool_1,1322,2260,low,high,pending,K1
k1_istanbul_2026_f_pool2_pool_2,https://youtube.com/watch?v=gptd2JF321c&list=PLhP92QB0Ehlhlp54zB3fmmhm69uo4GuvL&index=14,data/input/k1_istanbul_2026_f_pool1.mp4,K1_Istanbul,Female Kata,pool_2_pool_2,3368,4374,low,high,pending,K1
k1_istanbul_2026_f_pool2_pool_3,https://youtube.com/watch?v=gptd2JF321c&list=PLhP92QB0Ehlhlp54zB3fmmhm69uo4GuvL&index=14,data/input/k1_istanbul_2026_f_pool1.mp4,K1_Istanbul,Female Kata,pool_2_pool_3,5471,6330,low,high,pending,K1
k1_istanbul_2026_f_final_r1_1,https://youtube.com/watch?v=gptd2JF321c&list=PLhP92QB0Ehlhlp54zB3fmmhm69uo4GuvL&index=14,data/input/k1_istanbul_2026_f_pool1.mp4,K1_Istanbul,Female Kata,final_r1_1,34285,34647,low,high,pending,K1
k1_istanbul_2026_f_pool3_pool_1,https://youtube.com/watch?v=quRzO_IqMf4,data/input/k1_istanbul_2026_f_pool3.mp4,K1_Istanbul,Female Kata,pool_3_pool_1,349,1383,low,high,pending,K1
k1_istanbul_2026_f_pool3_pool_2,https://youtube.com/watch?v=quRzO_IqMf4,data/input/k1_istanbul_2026_f_pool3.mp4,K1_Istanbul,Female Kata,pool_3_pool_2,2525,3331,low,high,pending,K1
k1_istanbul_2026_f_pool3_pool_3,https://youtube.com/watch?v=quRzO_IqMf4,data/input/k1_istanbul_2026_f_pool3.mp4,K1_Istanbul,Female Kata,pool_3_pool_3,4445,5205,low,high,pending,K1
k1_istanbul_2026_f_pool4_pool_1,https://youtube.com/watch?v=quRzO_IqMf4,data/input/k1_istanbul_2026_f_pool3.mp4,K1_Istanbul,Female Kata,pool_4_pool_1,1524,2387,low,high,pending,K1
k1_istanbul_2026_f_pool4_pool_2,https://youtube.com/watch?v=quRzO_IqMf4,data/input/k1_istanbul_2026_f_pool3.mp4,K1_Istanbul,Female Kata,pool_4_pool_2,3435,4313,low,high,pending,K1
k1_istanbul_2026_f_pool4_pool_3,https://youtube.com/watch?v=quRzO_IqMf4,data/input/k1_istanbul_2026_f_pool3.mp4,K1_Istanbul,Female Kata,pool_4_pool_3,5296,6151,low,high,pending,K1
k1_istanbul_2026_f_final_r1_2,https://youtube.com/watch?v=quRzO_IqMf4,data/input/k1_istanbul_2026_f_pool3.mp4,K1_Istanbul,Female Kata,final_r1_2,34347,34723,low,high,pending,K1
k1_istanbul_2026_f_final_r2_1,https://youtube.com/watch?v=quRzO_IqMf4,data/input/k1_istanbul_2026_f_pool3.mp4,K1_Istanbul,Female Kata,final_r2_1,35141,35495,low,high,pending,K1
k1_istanbul_2026_f_pool5_pool_1,https://youtube.com/watch?v=5wBc7pA1g14,data/input/k1_istanbul_2026_f_pool5.mp4,K1_Istanbul,Female Kata,pool_5_pool_1,327,1284,low,high,pending,K1
k1_istanbul_2026_f_pool5_pool_2,https://youtube.com/watch?v=5wBc7pA1g14,data/input/k1_istanbul_2026_f_pool5.mp4,K1_Istanbul,Female Kata,pool_5_pool_2,2571,3722,low,high,pending,K1
k1_istanbul_2026_f_pool5_pool_3,https://youtube.com/watch?v=5wBc7pA1g14,data/input/k1_istanbul_2026_f_pool5.mp4,K1_Istanbul,Female Kata,pool_5_pool_3,5221,6005,low,high,pending,K1
k1_istanbul_2026_f_pool6_pool_1,https://youtube.com/watch?v=5wBc7pA1g14,data/input/k1_istanbul_2026_f_pool5.mp4,K1_Istanbul,Female Kata,pool_6_pool_1,1365,2455,low,high,pending,K1
k1_istanbul_2026_f_pool6_pool_2,https://youtube.com/watch?v=5wBc7pA1g14,data/input/k1_istanbul_2026_f_pool5.mp4,K1_Istanbul,Female Kata,pool_6_pool_2,3940,5097,low,high,pending,K1
k1_istanbul_2026_f_pool6_pool_3,https://youtube.com/watch?v=5wBc7pA1g14,data/input/k1_istanbul_2026_f_pool5.mp4,K1_Istanbul,Female Kata,pool_6_pool_3,6121,6549,low,high,pending,K1
k1_istanbul_2026_f_final_r1_3,https://youtube.com/watch?v=5wBc7pA1g14,data/input/k1_istanbul_2026_f_pool5.mp4,K1_Istanbul,Female Kata,final_r1_3,34401,34767,low,high,pending,K1
k1_istanbul_2026_f_final_r2_2,https://youtube.com/watch?v=5wBc7pA1g14,data/input/k1_istanbul_2026_f_pool5.mp4,K1_Istanbul,Female Kata,final_r2_2,35121,35588,low,high,pending,K1
k1_istanbul_2026_f_pool7_pool_1,https://youtube.com/watch?v=O26GjoBj1Fc,data/input/k1_istanbul_2026_f_pool7.mp4,K1_Istanbul,Female Kata,pool_7_pool_1,331,1313,low,high,pending,K1
k1_istanbul_2026_f_pool7_pool_2,https://youtube.com/watch?v=O26GjoBj1Fc,data/input/k1_istanbul_2026_f_pool7.mp4,K1_Istanbul,Female Kata,pool_7_pool_2,2550,3428,low,high,pending,K1
k1_istanbul_2026_f_pool7_pool_3,https://youtube.com/watch?v=O26GjoBj1Fc,data/input/k1_istanbul_2026_f_pool7.mp4,K1_Istanbul,Female Kata,pool_7_pool_3,4362,5273,low,high,pending,K1
k1_istanbul_2026_f_pool8_pool_1,https://youtube.com/watch?v=O26GjoBj1Fc,data/input/k1_istanbul_2026_f_pool7.mp4,K1_Istanbul,Female Kata,pool_8_pool_1,1494,2421,low,high,pending,K1
k1_istanbul_2026_f_pool8_pool_2,https://youtube.com/watch?v=O26GjoBj1Fc,data/input/k1_istanbul_2026_f_pool7.mp4,K1_Istanbul,Female Kata,pool_8_pool_2,3522,4284,low,high,pending,K1
k1_istanbul_2026_f_pool8_pool_3,https://youtube.com/watch?v=O26GjoBj1Fc,data/input/k1_istanbul_2026_f_pool7.mp4,K1_Istanbul,Female Kata,pool_8_pool_3,5348,6182,low,high,pending,K1
k1_istanbul_2026_f_final_r1_4,https://youtube.com/watch?v=O26GjoBj1Fc,data/input/k1_istanbul_2026_f_pool7.mp4,K1_Istanbul,Female Kata,final_r1_4,34377,34716,low,high,pending,K1
